variabel,huidig,2050_min,2050_max,2100_min,2100_max,,
Gemiddelde temperatuur,27.8,28.6,29.1,28.5,31,,
Gemiddelde temperatuur droog seizoen,26.8,27.6,28,27.5,29.9,,
Gemiddelde temperatuur nat seizoen,28.5,29.3,29.8,29.2,31.8,,29.8
Gemiddelde neerslag,1034,909.92,1065.02,579.04,1065.02,,
Gemiddelde neerslag droog seizoen,304,279.68,294.88,200.64,294.88,,
Gemiddelde neerslag nat seizoen,730,627.8,766.5,379.6,759.2,,
Gemiddelde windsnelheid,7,7,7.07,7,7.28,,
Gemiddelde windsnelheid droog seizoen,7.1,7.029,7.171,7.029,7.455,,
Gemiddelde windsnelheid nat seizoen,6.9,6.9,6.969,6.9,7.176,,
