Minutes,1,5,10,100
5,84.15,152.48,181.91,279.67
10,66.5,119.58,142.44,218.39
15,57.34,105.38,126.07,194.8
30,41.9,75.81,90.42,138.94
60,26.72,50.09,60.15,93.59
120,15.81,30.92,37.43,59.04
360,6.56,12.65,15.28,24
720,3.64,6.71,8.03,12.43
1440,1.87,3.67,4.44,7.01
